Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address1
0023-P-00500-0000-02,Surface Parking Lot,To Be Dedicated,URA Owned - County Records,UNC,0 DIAMOND ST
0027-A-00116-000A-00,Vacant Land,Hold for Study,URA Owned - County Records,RM-M,0 WYLIE AVE
0008-B-00500-0000-00,Street,To Be Dedicated,URA Owned - County Records,UNC,0 SHERMAN AVE
0084-M-00222-0000-00,Street,To Be Dedicated,URA Owned - County Records,SP-9,0 PUTNAM ST
0009-R-00099-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 FULLERTON ST
0007-B-00501-0000-00,Surface Parking Lot,Disposition in Process,URA Owned - County Records,UNC,1424 WESTERN AVE
0083-S-00069-0000-00,Street,To Be Dedicated,URA Owned - County Records,RP,0 PRINCE ST
0083-S-00083-0000-00,Street,To Be Dedicated,URA Owned - County Records,RM-H,0 EVERETT ST
0083-S-00084-0000-00,Street,To Be Dedicated,URA Owned - County Records,RP,0 HAMILTON AVE
0083-S-00087-0000-00,Street,To Be Dedicated,URA Owned - County Records,RP,0 HAMILTON AVE
0083-S-00215-0000-00,Street,To Be Dedicated,URA Owned - County Records,RP,0 OMEGA ST
0083-S-00252-0000-00,Street,To Be Dedicated,URA Owned - County Records,RM-M,0 LARIMER AVE
0083-S-00500-0000-01,Street,To Be Dedicated,URA Owned - County Records,LNC,0 LARIMER AVE
0024-N-00274-0000-00,Street,Deleted,,LNC,709 AVERY ST
0041-H-00500-0000-00,Street,To Be Dedicated,URA Owned - County Records,P,0 DICKENS ST
0009-S-00181-000A-00,Street,To Be Dedicated,URA Owned - County Records,RP,0 WEBSTER AVE
0024-J-00003-0000-00,Street,To Be Dedicated,URA Owned - County Records,P,1202 HOWARD ST
0002-B-00130-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 WEBSTER AVE
0002-B-00132-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 WASHINGTON PL
0002-B-00133-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 WASHINGTON PL
0002-B-00134-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 WASHINGTON PL
0002-B-00135-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 WASHINGTON PL
0002-B-00136-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 POPLAR WAY
0002-B-00137-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 POPLAR WAY
0002-B-00138-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 POPLAR WAY
0002-B-00139-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 GILMORE WAY
0002-B-00142-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 GILMORE WAY
0002-B-00144-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 POPLAR WAY
0002-B-00149-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00152-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00153-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00154-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00155-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00156-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00157-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00158-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00159-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00166-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00168-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00169-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00170-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00173-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 WASHINGTON PL
0002-B-00175-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 WASHINGTON PL
0002-B-00181-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BUSTRICK WAY
0002-B-00186-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00188-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00189-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00190-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00190-000A-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BUSTRICK WAY
0002-B-00192-000A-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BUSTRICK WAY
0002-B-00192-000B-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BUSTRICK WAY
0002-B-00193-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BUSTRICK WAY
0002-B-00194-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00198-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00199-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 WASHINGTON PL
0002-B-00201-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00203-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 WASHINGTON PL
0002-B-00204-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 WASHINGTON PL
0002-B-00205-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 WASHINGTON PL
0002-B-00206-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 WASHINGTON PL
0002-B-00207-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 WASHINGTON PL
0002-B-00208-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BEDFORD AVE
0002-B-00209-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00210-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00213-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00218-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00219-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00220-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00221-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00222-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00223-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00224-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00225-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 BEDFORD AVE
0002-B-00228-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 GILMORE WAY
0002-B-00229-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 GILMORE WAY
0002-B-00230-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 GILMORE WAY
0002-B-00231-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 GILMORE WAY
0002-B-00232-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 GILMORE WAY
0002-B-00233-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 GILMORE WAY
0002-B-00234-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 GILMORE WAY
0002-B-00235-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 GILMORE WAY
0002-B-00236-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 GILMORE WAY
0002-B-00237-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 GILMORE WAY
0002-B-00238-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 GILMORE WAY
0002-B-00250-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 WEBSTER AVE
0002-B-00252-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 WEBSTER AVE
0002-B-00255-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 WEBSTER AVE
0002-F-00154-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 CHATHAM ST
0002-F-00155-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 CHATHAM ST
0002-F-00156-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 CHATHAM ST
0002-F-00158-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-E,0 CHATHAM ST
0009-P-00116-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BUSTRICK WAY
0009-P-00118-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BUSTRICK WAY
0009-P-00119-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BUSTRICK WAY
0009-P-00121-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BUSTRICK WAY
0009-P-00124-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 BIGELOW BLVD
0083-S-00500-0000-00,Street,To Be Dedicated,URA Owned - County Records,RP,0 COLLINS AVE
0002-B-00101-0000-00,Street,Deleted,,GT-B,0 WEBSTER AVE
0084-M-00220-0000-00,Street,To Be Dedicated,URA Owned - County Records,SP-9,0 PENN AVE
0023-G-00023-0000-00,Street,To Be Dedicated,URA Owned - County Records,RM-M,0 FEDERAL ST
0024-P-00041-0000-00,Street,To Be Dedicated,URA Owned - County Records,P,0 LOCKHART ST
0024-P-00043-0000-00,Street,To Be Dedicated,URA Owned - County Records,P,0 LOCKHART ST
0007-B-00012-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 SHEFFIELD ST
0007-B-00014-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0007-B-00015-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0007-B-00016-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0007-B-00506-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0007-H-00086-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-NS,0 WOLFENDALE ST
0007-H-00087-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-NS,0 WOLFENDALE ST
0007-H-00087-000A-00,Street,To Be Dedicated,URA Owned - County Records,UNC,0 BRAUN WAY
0007-H-00088-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-NS,0 WOLFENDALE ST
0007-H-00088-000A-00,Street,To Be Dedicated,URA Owned - County Records,UNC,0 BRAUN WAY
0007-H-00089-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-NS,0 WOLFENDALE ST
0007-H-00092-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-NS,0 WALKER ST
0007-H-00094-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-NS,0 WOLFENDALE ST
0007-H-00096-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-NS,0 WOLFENDALE ST
0022-A-00501-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0022-A-00502-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 BLEVINS ST
0022-A-00503-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 GIRONDE ST
0022-E-00169-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-E-00170-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-E-00171-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-E-00172-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-E-00173-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-E-00506-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 WARNER ST
0022-E-00507-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 ADAMS ST
0022-E-00508-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 BELDALE ST
0022-E-00509-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 NIXON ST
0022-E-00510-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 HOFFMAN ST
0022-E-00511-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-J-00503-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0022-J-00504-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 JUNIATA ST
0022-J-00508-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 COLUMBUS AVE
0022-J-00509-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 N FRANKLIN ST
0022-N-00503-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 STEDMAN ST
0022-N-00504-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 PENNSYLVANIA AVE
0022-N-00505-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 LIVERPOOL ST
0022-N-00508-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0022-P-00208-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0022-P-00213-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 PENNSYLVANIA AVE
0022-P-00214-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 PENNSYLVANIA AVE
0022-P-00215-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 PENNSYLVANIA AVE
0022-P-00215-000A-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 STEDMAN ST
0022-P-00216-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 PENNSYLVANIA AVE
0022-P-00218-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0022-P-00219-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 SHEFFIELD ST
0022-P-00219-000A-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 STEDMAN ST
0022-P-00220-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 SHEFFIELD ST
0022-P-00220-000A-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 STEDMAN ST
0022-P-00221-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 SHEFFIELD ST
0022-P-00221-000A-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 STEDMAN ST
0022-P-00222-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 SHEFFIELD ST
0022-P-00223-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 SHEFFIELD ST
0022-P-00224-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 SHEFFIELD ST
0022-P-00225-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 SHEFFIELD ST
0022-P-00225-000A-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 STEDMAN ST
0022-P-00226-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 SHEFFIELD ST
0022-P-00228-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0022-P-00229-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0022-P-00230-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0022-E-00512-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-E-00513-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-J-00506-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-J-00507-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 N FRANKLIN ST
0022-N-00509-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-N-00510-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-N-00511-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-N-00512-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 GIRONDE ST
0022-E-00240-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 CHATEAU ST
0083-R-00240-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,UNC,0 N HIGHLAND AVE
0022-G-00234-0001-00,Vacant Land,Hold for Study,URA Owned - County Records,R1A-VH,0 COLUMBUS AVE
0009-S-00220-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,RM-M,1836 ENOCH ST
0022-M-00500-0000-00,Street,To Be Dedicated,URA Owned - County Records,UI,0 JACKSONIA ST
0083-S-00193-0000-00,Street,To Be Dedicated,URA Owned - County Records,RP,0 COLLINS AVE
0002-B-00121-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 7TH AVE
0002-B-00123-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 7TH AVE
0002-B-00126-0000-00,Street,To Be Dedicated,URA Owned - County Records,GT-B,0 7TH AVE
0021-D-00042-000A-00,Vacant Land,Hold for Study,URA Owned - County Records,RIV-GI,0 ISLAND AVE
0027-A-00124-0000-00,Vacant Land,Hold for Study,URA Owned,LNC,0 WYLIE AVE
0010-L-00099-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 SOHO ST
0010-L-00100-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 HUMBER WAY
0045-M-00136-0000-00,Vacant Land,Hold from Market,URA Owned - County Records,R1D-H,0 STRAUSS ST
0050-B-00283-0001-00,Vacant Land,Hold for Study,URA Owned - County Records,R1D-M,0 MOSSFIELD ST
0050-B-00501-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,R1D-M,0 MOSSFIELD ST
0005-C-00137-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,R1D-M,0 PLYMOUTH ST
0007-A-00046-0000-00,Street,To Be Dedicated,URA Owned - County Records,RIV-IMU,0 BEAVER AVE
0071-A-00090-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,GI,0 SUMMERDALE ST
0231-J-00207-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,R2-L,0 PERCHMENT ST
0096-G-00101-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,P,0 DALEVIEW ST
0096-G-00121-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,P,0 OAKRIDGE ST
0096-H-00267-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,P,0 DALEVIEW ST
0096-L-00086-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,P,0 BRIGGS ST
0096-M-00026-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,P,0 DALEVIEW ST
0096-M-00065-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,P,0 CORTINA WAY
0115-F-00250-0001-00,Vacant Land,Hold for Study,URA Owned - County Records,R1A-M,0 BRIGHTON WOODS RD
0173-P-00131-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,RM-M,0 EVERTON ST
0041-R-00400-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,P,0 MARTERA PL
0026-C-00019-0000-00,Vacant Land,Hold for Study,URA Owned - County Records,H,0 FLEETWOOD ST
0174-B-00500-0000-01,Vacant Land,Hold for Study,URA Owned - County Records,RM-M,0 STRANAHAN ST
0050-B-00212-0000-01,Vacant Land,Hold for Study,URA Owned - County Records,R1D-M,0 N MATHILDA ST
0011-A-00123-0000-00,Occupied Structure,Acquired,URA Owned,CP,1850 CENTRE AVE
0029-J-00193-0000-00,Occupied Structure,Disposition in Process,URA Owned,SP-5,2701 SOUTH WATER ST
0029-J-00197-0000-00,Vacant Land,Disposition in Process,URA Owned,SP-5,2801 SOUTH WATER ST
0009-D-00201-0000-00,Street,New,URA Owned,UI,0 SMALLMAN ST
0125-F-00239-0000-00,Vacant Structure,Acquired,URA Owned,UI,6714 KELLY ST
0125-G-00013-0000-00,Vacant Land,Acquired,URA Owned,R1D-L,6714 KELLY ST
0056-B-00313-0000-00,Vacant Structure,Acquired,URA Owned,LNC,4721 IRVINE ST
0002-P-00109-0000-00,Street,To Be Dedicated,URA Owned,RIV-MU,0 MUNICIPAL COURTS DR
0023-R-00500-0000-02,Vacant Land,Hold for Study,URA Owned,UNC,0 E OHIO ST
0083-P-00043-0000-00,Street,To Be Dedicated,URA Owned,UNC,0 N BEATTY ST
0035-F-00267-0000-00,Vacant Structure,Disposition in Process,URA Owned,LNC,1602 -1606 BROADWAY AVE
0082-M-00183-0000-00,Vacant Land,Acquired,URA Owned,LNC,Bryant Street
0124-J-00157-0000-00,Occupied Structure,Acquired,URA Owned,LNC,6223 MEADOW ST
0014-E-00239-0000-00,Vacant Land,Acquired,URA Owned,,0 BELTZHOOVER AVE
0014-E-00241-0000-00,Vacant Land,Acquired,URA Owned,,0 BELTZHOOVER AVE
0014-E-00242-0000-00,Vacant Land,Acquired,URA Owned,,0 BELTZHOOVER AVE
0014-E-00244-0000-00,Vacant Land,Acquired,URA Owned,,0 BELTZHOOVER AVE
0120-G-00155-0000-00,Vacant Land,Disposition in Process,URA Owned,RIV-GI,32 62ND ST
0120-G-00145-0000-00,Vacant Land,Available,URA Owned,RIV-GI,6111 BUTLER ST
0029-J-00160-0000-00,Parking Structure,Disposition in Process,URA Owned,SP-5,2822 SIDNEY ST
0029-J-00175-0000-00,Parking Structure,Disposition in Process,URA Owned,SP-5,2812 TUNNEL BLVD
0029-B-00306-0000-00,Vacant Land,Hold for Study,URA Owned,SP-1,0 TECHNOLOGY DR
0029-B-00308-0000-00,Surface Parking Lot,Hold for Study,URA Owned,SP-1,0 TECHNOLOGY DR
0010-P-00113-000B-00,Occupied Structure,Sold - Redevelopment in Progress,Privately Owned,LNC,2178 CENTRE AVE
0001-M-00150-0003-00,Occupied Structure,Acquired,URA Owned,,412 BLVD OF THE ALLIES
0029-E-00002-0000-00,Not Classified,Acquired,URA Owned,,2613 SOUTH WATER ST
0009-M-00132-0000-00,Vacant Land,Acquired,URA Owned,,0 CLIFF ST
0083-N-00340-G102-00,Vacant Structure,Acquired,URA Owned,LNC,5491 PENN AVE UNIT G102
0083-N-00340-G103-00,Vacant Structure,Acquired,URA Owned,LNC,5491 PENN AVE UNIT G103
0083-N-00340-G104-00,Vacant Structure,Acquired,URA Owned,LNC,5491 PENN AVE UNIT G104
0083-N-00340-G105-00,Vacant Structure,Acquired,URA Owned,LNC,5491 PENN AVE UNIT G105
