Parcel Number,Property Class,Property Status,Inventory Type,Zoned As,Address1
0173-N-00166-0000-00,Vacant Land,Available,URA Owned,R2-L,0 CHAUCER ST
0173-N-00290-0000-00,Vacant Land,Available,URA Owned,R2-L,0 N MURTLAND ST
0173-N-00300-0000-00,Vacant Land,Available,URA Owned,R2-L,0 UPLAND ST
0173-P-00174-0000-00,Vacant Land,Available,URA Owned,RM-M,0 EVERTON ST
0174-B-00087-0000-00,Vacant Land,Available,URA Owned,R2-L,0 N HOMEWOOD AVE
0174-B-00111-0000-00,Vacant Land,Available,URA Owned,R2-L,0 N HOMEWOOD AVE
0174-B-00114-0000-00,Vacant Land,Available,URA Owned,R2-L,0 N HOMEWOOD AVE
0174-B-00134-0000-00,Vacant Land,Available,URA Owned,RM-M,0 UPLAND ST
0174-B-00135-0000-00,Vacant Land,Available,URA Owned,RM-M,0 STERRETT ST
0174-B-00171-0000-00,Vacant Land,Available,URA Owned,R2-L,0 MOUNT VERNON ST
0174-B-00201-0000-00,Vacant Land,Available,URA Owned,R2-L,0 MOUNT VERNON ST
0174-B-00202-0000-00,Vacant Land,Available,URA Owned,R2-L,0 MOUNT VERNON ST
0174-B-00206-0000-00,Vacant Land,Available,URA Owned,R2-L,0 MOUNT VERNON ST
0174-B-00246-0000-00,Vacant Land,Available,URA Owned,R2-L,0 MOUNT VERNON ST
0174-B-00325-0000-00,Vacant Land,Available,URA Owned,R2-L,0 KEDRON ST
0174-C-00001-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,1319 COLLIER ST
0174-C-00008-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,0 MOUNT VERNON ST
0174-C-00009-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,7349 MOUNT VERNON ST
0174-C-00024-000A-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 MOUNT VERNON ST
0174-C-00026-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 MOUNT VERNON ST
0174-C-00028-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 MOUNT VERNON ST
0174-C-00029-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 MOUNT VERNON ST
0174-C-00053-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,0 MOUNT VERNON ST
0174-C-00084-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00086-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00087-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00088-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00089-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00090-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,7530 LARKSPUR WAY
0174-C-00091-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,7528 UPLAND ST
0174-C-00093-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,7522 UPLAND ST
0174-C-00094-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00095-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,7516 UPLAND ST
0174-C-00096-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00097-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00098-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00099-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,7506 UPLAND ST
0174-C-00108-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00109-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00110-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00141-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,7535 UPLAND ST
0174-C-00142-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 UPLAND ST
0174-C-00148-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,1301 BRUSHTON AVE
0174-C-00198-0000-00,Vacant Land,Hold for Study,URA Owned,R1D-L,7411 STRANAHAN ST
0174-E-00155-0000-00,Vacant Land,Available,URA Owned,R2-L,0 IDLEWILD ST
0174-E-00197-0000-00,Vacant Land,Available,URA Owned,R2-L,0 IDLEWILD ST
0174-F-00048-0000-00,Vacant Land,Disposition in Process,URA Owned,R2-L,0 HERMITAGE ST
0174-F-00049-0000-00,Vacant Land,Available,URA Owned,R2-L,0 HERMITAGE ST
0174-F-00050-0000-00,Vacant Land,Available,URA Owned,R2-L,0 HERMITAGE ST
0174-F-00159-0000-00,Vacant Land,Available,URA Owned,R2-L,0 MONTICELLO ST
0174-G-00041-0000-00,Vacant Land,Available,URA Owned,RM-M,0 MONTICELLO ST
0174-G-00042-0000-00,Vacant Land,Available,URA Owned,RM-M,0 MONTICELLO ST
0174-G-00043-0000-00,Vacant Land,Available,URA Owned,RM-M,0 MONTICELLO ST
0174-G-00133-0000-00,Vacant Land,Available,URA Owned,RM-M,0 BRUSHTON AVE
0174-G-00148-0000-00,Vacant Land,Available,URA Owned,RM-M,7429 MONTICELLO ST
0174-G-00152-0000-00,Vacant Land,Available,URA Owned,RM-M,7421 MONTICELLO ST
0174-G-00161-0000-00,Vacant Land,Available,URA Owned,RM-M,0 MONTICELLO ST
0174-G-00184-0000-00,Vacant Land,Available,URA Owned,RM-M,7436 HERMITAGE ST
0174-G-00189-0000-00,Vacant Land,Available,URA Owned,RM-M,0 HERMITAGE ST
0174-G-00190-0000-00,Vacant Land,Available,URA Owned,RM-M,7448 HERMITAGE ST
0174-G-00196-0000-00,Vacant Land,Available,URA Owned,RM-M,7455 FLETCHER WAY
0174-G-00197-0000-00,Vacant Land,Available,URA Owned,RM-M,7455 FLETCHER WAY
0174-G-00198-0000-00,Vacant Land,Available,URA Owned,RM-M,7457 FLETCHER WAY
0174-G-00199-0000-00,Vacant Land,Available,URA Owned,RM-M,7457 FLETCHER WAY
0174-G-00200-0000-00,Vacant Land,Available,URA Owned,RM-M,7459 FLETCHER WAY
0174-G-00246-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 BRUSHTON AVE
0174-G-00247-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 BRUSHTON AVE
0174-G-00248-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 HERMITAGE ST
0174-G-00269-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,1235 MOUNT VERNON ST
0174-G-00271-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 MOUNT VERNON ST
0174-G-00273-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 MOUNT VERNON ST
0174-G-00274-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 MOUNT VERNON ST
0174-G-00275-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,7428 MOUNT VERNON ST
0174-G-00309-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,1314 COLLIER ST
0174-G-00324-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,1311 COLLIER ST
0174-G-00326-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,1315 COLLIER ST
0174-G-00327-0000-00,Vacant Land,Hold for Study,URA Owned,R2-L,0 COLLIER ST
0174-G-00334-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 MOUNT VERNON ST
0174-G-00335-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 MOUNT VERNON ST
0174-G-00336-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 MOUNT VERNON ST
0174-G-00338-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 MOUNT VERNON ST
0174-K-00106-0000-00,Vacant Land,Available,URA Owned,RM-M,7245 FRANKSTOWN AVE
0174-K-00108-0000-00,Vacant Land,Available,URA Owned,RM-M,7249 FRANKSTOWN AVE
0174-K-00141-0000-00,Vacant Land,Hold for Study,URA Owned,RM-M,0 FRANKSTOWN AVE
