Parcel Number,Property Status,Inventory Type
0024A00215000000,Hold for Study,Hold For Study
0024A00216000000,Hold for Study,Hold For Study
0024A00217000000,Hold for Study,Hold For Study
0024A00218000000,Hold for Study,Hold For Study
0024A00219000000,Hold for Study,Hold For Study
0024A00242000000,Hold for Study,Hold For Study
0024A00244000000,Hold for Study,Hold For Study
0024A00254000000,Hold for Study,Hold For Study
0024A00261000000,Hold for Study,Hold For Study
0024A00263000000,Hold for Study,Hold For Study
0024A00265000000,Hold for Study,Hold For Study
0024A00267000000,Hold for Study,Hold For Study
0024B00219000000,Available for Sale,Public Sale
0024B00226000000,Available for Sale,Public Sale
0024B00245000000,Available for Sale,Public Sale
0024B00250000000,Available for Sale,Public Sale
0024C00138000000,Available for Sale,Public Sale
0024C00176000000,Available for Sale,Public Sale
0024C00189000000,Available for Sale,Public Sale
0024C00240000000,Hold for Study,Greenway
0024C00256000000,Available for Sale,Public Sale
0024C00348000000,Available for Sale,Public Sale
0024E00120000000,Hold for Study,Hold For Study
0024E00218000000,Available for Sale,Public Sale
0024E00282000000,Available for Sale,Public Sale
0024E00321000000,Hold for Study,Hold For Study
0024E00324000000,Hold for Study,Hold For Study
0024E00327000000,Hold for Study,Hold For Study
0024E00330000000,Hold for Study,Hold For Study
0024E00340000000,Hold for Study,Hold For Study
0024E00344000000,Hold for Study,Hold For Study
0024F00004000000,Available for Sale,Public Sale
0024F00011000000,Available for Sale,Public Sale
0024F00085000000,Available for Sale,Public Sale
0024F00102000000,Available for Sale,Public Sale
0024F00153000A00,Available for Sale,Public Sale
0024F00182000000,Available for Sale,Public Sale
0024F00273000000,Available for Sale,Public Sale
0024F00274000000,Available for Sale,Public Sale
0024F00275000000,Available for Sale,Public Sale
0024F00289000000,Available for Sale,Public Sale
0024F00291000000,Available for Sale,Public Sale
0024F00292000000,Available for Sale,Public Sale
0024F00293000000,Available for Sale,Public Sale
0024F00294000000,Available for Sale,Public Sale
0024F00296000000,Available for Sale,Public Sale
0024F00298000000,Available for Sale,Public Sale
0024G00008000000,Available for Sale,Public Sale
0024G00060000000,Hold for Study,Hold for Study
0024G00098000000,Available for Sale,Public Sale
0024G00119000000,Available for Sale,Public Sale
0024H00010000000,Available for Sale,Public Sale
0025M00280000000,Available for Sale,Public Sale
0025M00307000000,Hold for Study,Hold For Study
0025P00098000002,Hold for Study,Hold For Study
0025P00150000001,Hold for Study,Hold For Study
0025R00106000001,Hold for Study,Hold For Study
0025S00108000000,Hold for Study,URA Transfer
0025S00192000000,Available for Sale,URA Transfer
0025S00193000000,Available for Sale,URA Transfer
0025S00214000000,Available for Sale,URA Transfer
0025S00216000000,Available for Sale,URA Transfer
0026A00184000000,Hold for Study,Hold For Study
0026B00271000000,Hold for Study,Hold For Study
0026B00290000000,Hold for Study,Hold For Study
0026B00300000000,Hold for Study,Hold For Study
0026C00028000000,Hold for Study,Hold For Study
0026C00075000000,Hold for Study,Hold For Study
0026C00078000000,Available for Sale,Public Sale
0026C00084000000,Hold for Study,Hold For Study
0026C00087000000,Hold for Study,Hold For Study
0026C00198000000,Hold for Study,Hold For Study
0026C00199000000,Hold for Study,Hold For Study
0026C00200000000,Hold for Study,Hold For Study
0026C00202000000,Hold for Study,Hold For Study
0026C00204000000,Hold for Study,Hold For Study
0026C00212000000,Available for Sale,Public Sale
0026C00213000000,Available for Sale,Public Sale
0026C00227000000,Hold for Study,Hold For Study
0026C00278000000,Hold for Study,Hold For Study
0026C00322000000,Hold for Study,Hold for Study
0026C00324000000,Available for Sale,Public Sale
0026E00168000000,Available for Sale,Public Sale
0026E00169000000,Available for Sale,Public Sale
0026E00274000000,Hold for Study,Hold For Study
0026E00286000000,Hold for Study,Hold For Study
0026E00289000000,Hold for Study,Hold For Study
0026E00290000000,Hold for Study,Hold For Study
0026E00301000000,Hold for Study,Hold For Study
0026E00302000000,Hold for Study,Hold For Study
0026E00303000000,Hold for Study,Hold For Study
0026E00304000000,Hold for Study,Hold For Study
0026E00305000000,Hold for Study,Hold For Study
0026E00308000000,Hold for Study,Hold for Study
0026E00311000000,Hold for Study,Hold for Study
0026E00313000000,Hold for Study,Hold For Study
0026E00314000000,Hold for Study,Hold For Study
0026E00315000000,Hold for Study,Hold For Study
0026E00316000000,Hold for Study,Hold For Study
0026E00317000000,Hold for Study,Hold For Study
0026F00074000000,Hold for Study,Hold For Study
0026F00076000000,Hold for Study,Hold For Study
0026F00077000000,Hold for Study,Hold For Study
0026F00078000000,Hold for Study,Hold For Study
0026F00080000000,Hold for Study,Hold For Study
0026F00282000000,Hold for Study,Hold For Study
0026F00289000000,Hold for Study,Hold For Study
0026F00317000000,Available for Sale,Public Sale
0026G00075000000,Hold for Study,Hold For Study
0026G00104000000,Hold for Study,Hold For Study
0026G00126000000,Hold for Study,Hold For Study
0026G00140000001,Hold for Study,Hold For Study
0026H00085000000,Hold for Study,Hold for Study
0026H00160000000,Hold for Study,Hold For Study
0026H00358000000,Available for Sale,Public Sale
0026J00129000000,Available for Sale,Public Sale
0026J00137000000,Available for Sale,Public Sale
0026J00156000A00,Available for Sale,Public Sale
0026J00156000B00,Available for Sale,Public Sale
0026J00206000000,Hold for Study,Hold For Study
0026J00281000000,Available for Sale,Public Sale
0026J00339000000,Available for Sale,Public Sale
0026J00342000000,Hold for Study,Hold For Study
0026J00347000000,Hold for Study,Hold For Study
0026J00348000000,Hold for Study,Hold For Study
0026K00029000000,Available for Sale,Public Sale
0026K00030000000,Available for Sale,Public Sale
0026K00049000000,Available for Sale,Public Sale
0026K00063000000,Available for Sale,Public Sale
0026K00090000000,Available for Sale,Public Sale
0026K00127000000,Available for Sale,Public Sale
0026K00128000000,Available for Sale,Public Sale
0026K00131000000,Available for Sale,Public Sale
0026K00170000000,Hold for Study,Hold For Study
0026K00186000000,Hold for Study,Hold For Study
0026K00203000000,Hold for Study,Hold For Study
0026K00208000000,Hold for Study,Hold For Study
0026K00210000000,Hold for Study,Hold For Study
0026K00211000000,Hold for Study,Hold For Study
0026K00213000000,Hold for Study,Hold For Study
0026K00250000000,Available for Sale,Public Sale
0026L00056000000,Hold for Study,Hold For Study
0026L00146000000,Available for Sale,Public Sale
0026L00247000000,Hold for Study,Hold For Study
0026N00059000000,Available for Sale,Public Sale
0026N00080000000,Available for Sale,Public Sale
0026N00184000000,Hold for Study,Hold For Study
0026N00190000000,Hold for Study,Hold For Study
0026N00211000000,Hold for Study,Hold For Study
0026N00215000000,Hold for Study,Hold For Study
0026N00221000000,Hold for Study,Hold For Study
0026N00223000000,Hold for Study,Hold For Study
0026N00224000000,Hold for Study,Hold For Study
0026N00249000000,Available for Sale,URA Transfer
0026N00250000000,Available for Sale,URA Transfer
0026N00254000000,Hold for Study,Hold For Study
0026N00255000000,Hold for Study,Hold For Study
0026N00259000000,Hold for Study,Hold For Study
0026N00268000000,Available for Sale,Public Sale
0026N00272000000,Available for Sale,Public Sale
0026N00286000000,Hold for Study,Hold For Study
0026P00046000000,Available for Sale,Public Sale
0026P00048000000,Available for Sale,Public Sale
0026P00070000000,Available for Sale,Public Sale
0026P00083000000,Available for Sale,Public Sale
0026P00143000000,Available for Sale,Public Sale
0026P00156000000,Available for Sale,URA Transfer
0026P00286000000,Available for Sale,Public Sale
0026R00082000000,Hold for Study,Hold For Study
0026R00192000000,Hold for Study,Hold For Study
0027A00125000000,Available for Sale,URA Transfer
0027A00126000000,Available for Sale,URA Transfer
0027A00156000000,Available for Sale,URA Transfer
0027A00285000000,Available for Sale,Public Sale
0027A00297000000,Available for Sale,Public Sale
0027A00304000000,Available for Sale,Public Sale
0027A00305000000,Available for Sale,URA Transfer
0027B00149000000,Available for Sale,Public Sale
0027B00172000B00,Available for Sale,Public Sale
0027B00265000000,Available for Sale,Public Sale
0027C00237000000,Available for Sale,Public Sale
0027C00361000000,Hold for Study,Hold For Study
0027E00077000000,Available for Sale,URA Transfer
0027E00078000000,Available for Sale,URA Transfer
0027E00080000000,Available for Sale,URA Transfer
0027E00081000000,Available for Sale,URA Transfer
0027F00052000000,Hold for Study,Hold For Study
0027F00053000000,Hold for Study,Hold For Study
0028A00133000000,Hold for Study,Hold For Study
0028N00110000000,Hold for Study,Hold For Study
0028N00165000000,Hold for Study,Hold For Study
0028N00166000000,Hold for Study,Hold For Study
0028N00171000000,Hold for Study,Hold For Study
0028N00172000000,Hold for Study,Hold For Study
0028N00233000000,Hold for Study,Hold For Study
0028N00236000000,Hold for Study,Hold For Study
0028N00237000000,Hold for Study,Hold For Study
0028N00238000000,Hold for Study,Hold For Study
0028N00239000000,Hold for Study,Hold For Study
0028N00241000000,Hold for Study,Hold For Study
0028P00072000000,Hold for Study,Hold For Study
0028P00073000000,Hold for Study,Hold For Study
0028P00196000000,Hold for Study,Hold For Study
0028P00234000000,Hold for Study,Hold For Study
0028P00235000000,Hold for Study,Hold For Study
0028R00290000000,Hold for Study,Hold For Study
0028R00312000000,Hold for Study,Hold For Study
0028S00138000000,Hold for Study,Hold For Study
0028S00140000000,Hold for Study,Hold For Study
0028S00235000000,Hold for Study,Hold For Study
0028S00250000000,Hold for Study,Hold For Study
0029B00025000000,Hold for Study,Hold For Study
0029B00029000000,Hold for Study,Hold For Study
0029B00032000000,Hold for Study,Hold For Study
0029B00042000000,Hold for Study,Hold For Study
0029B00043000000,Hold for Study,Hold For Study
0029B00046000000,Hold for Study,Hold For Study
0029B00048000000,Hold for Study,Hold for Study
0029B00053000000,Hold for Study,Hold For Study
0029B00157000000,Hold for Study,Hold For Study
0029B00158000000,Hold for Study,Hold For Study
0029B00162000000,Hold for Study,Hold For Study
0029B00163000000,Hold for Study,Hold For Study
0029B00180000000,Hold for Study,Hold For Study
0029B00187000000,Hold for Study,Hold For Study
0029B00191000000,Hold for Study,Hold For Study
0029B00212000000,Hold for Study,Hold For Study
0029B00222000000,Hold for Study,Hold For Study
0029C00002000000,Hold for Study,Hold For Study
0029C00003000000,Hold for Study,Hold For Study
0029C00004000000,Hold for Study,Hold For Study
0029C00036000000,Hold for Study,Hold For Study
0029C00086000000,Hold for Study,Hold For Study
0029D00240000000,Hold for Study,Hold For Study
0029G00010000000,Hold for Study,Hold For Study
0029G00038000000,Hold for Study,Hold For Study
0029G00143000001,Hold for Study,Hold For Study
0029G00144000000,Hold for Study,Hold For Study
0029G00145000000,Hold for Study,Hold For Study
0029G00146000000,Hold for Study,Hold For Study
0029G00147000000,Hold for Study,Hold For Study
0029G00154000000,Hold for Study,Hold For Study
0029G00156000000,Hold for Study,Hold For Study
0029G00161000000,Hold for Study,Hold For Study
0029G00163000000,Hold for Study,Hold For Study
0029G00166000000,Hold for Study,Hold For Study
0029G00167000000,Hold for Study,Hold For Study
0029G00168000000,Hold for Study,Hold For Study
0029G00169000000,Hold for Study,Hold For Study
0029G00170000000,Hold for Study,Hold For Study
0029G00173000000,Hold for Study,Hold For Study
0029G00177000000,Hold for Study,Hold For Study
0029G00179000000,Hold for Study,Hold For Study
0029G00181000000,Hold for Study,Hold For Study
0029G00182000000,Hold for Study,Hold For Study
0029H00167000000,Hold for Study,Hold For Study
0029H00233000000,Hold for Study,Hold For Study
0029H00237000000,Hold for Study,Hold For Study
0029H00238000000,Hold for Study,Hold For Study
0029H00300000000,Hold for Study,Hold For Study
0029L00013000000,Hold for Study,Hold For Study
0029L00023000000,Hold for Study,Hold For Study
0029L00032000000,Hold for Study,Hold For Study
0029L00034000000,Hold for Study,Hold For Study
0029L00040000000,Hold for Study,Hold For Study
0029L00045000000,Hold for Study,Hold For Study
0029L00052000000,Hold for Study,Hold For Study
0029L00058000000,Hold for Study,Hold For Study
0029L00064000000,Hold for Study,Hold For Study
0029L00070000000,Hold for Study,Hold For Study
0029L00071000000,Hold for Study,Hold For Study
0029L00072000000,Hold for Study,Hold For Study
0029M00024000000,Hold for Study,Hold for Study
0029M00074000000,Hold for Study,Hold For Study
0029M00189000000,Hold for Study,Hold For Study
0029M00190000000,Hold for Study,Hold For Study
0029M00191000000,Hold for Study,Hold For Study
0029M00192000000,Hold for Study,Hold For Study
0029M00194000000,Hold for Study,Hold For Study
0029M00196000000,Hold for Study,Hold For Study
0029M00200000000,Hold for Study,Hold For Study
0029M00220000000,Hold for Study,Hold For Study
0029M00225000000,Hold for Study,Hold For Study
0029M00226000000,Hold for Study,Hold For Study
0029M00227000000,Hold for Study,Hold For Study
0029M00252000000,Available for Sale,Public Sale
0029M00310000001,Hold for Study,Hold For Study
0029M00315000000,Hold for Study,Hold For Study
0029S00058000000,Available for Sale,Public Sale
0029S00078000000,Hold for Study,Hold For Study
0029S00125000000,Hold for Study,Hold For Study
0029S00126000000,Hold for Study,Hold For Study
0029S00127000000,Hold for Study,Hold For Study
0029S00133000000,Hold for Study,Hold For Study
0029S00160000000,Hold for Study,Hold For Study
0029S00180000000,Hold for Study,Hold For Study
0029S00191000000,Hold for Study,Hold For Study
0030A00019000000,Hold for Study,Hold For Study
0030A00090000000,Available for Sale,Public Sale
0030A00134000000,Available for Sale,Public Sale
0030D00034000000,Hold for Study,Hold For Study
0030D00099000000,Hold for Study,Hold For Study
0030D00100000000,Hold for Study,Hold For Study
0030E00003000000,Hold for Study,Hold For Study
0030E00094000000,Hold for Study,Hold For Study
0030E00096000000,Hold for Study,Hold For Study
0030E00111000000,Hold for Study,Hold For Study
0030E00114000000,Hold for Study,Hold For Study
0030E00117000000,Hold for Study,Hold For Study
0030E00119000000,Hold for Study,Hold For Study
0030E00120000000,Hold for Study,Hold For Study
0030E00121000000,Hold for Study,Hold For Study
0030E00123000000,Hold for Study,Hold For Study
0030E00172000000,Hold for Study,Hold For Study
0030E00194000000,Hold for Study,Hold for Study
0030E00195000000,Hold for Study,Hold for Study
0030E00240000000,Hold for Study,Hold for Study
0030F00030000000,Hold for Study,Hold For Study
0030F00033000000,Hold for Study,Hold For Study
0030F00034000000,Hold for Study,Hold For Study
0030F00040000000,Hold for Study,Hold For Study
0030F00043000000,Hold for Study,Hold For Study
0030J00001000000,Hold for Study,Hold For Study
0030J00036000000,Hold for Study,Hold For Study
0030J00045000000,Hold for Study,Hold For Study
0030J00072000000,Available for Sale,Public Sale
0030N00069000000,Hold for Study,Hold For Study
0030N00104000000,Hold for Study,Hold For Study
0030N00115000000,Available for Sale,Public Sale
0030N00149000000,Hold for Study,Hold For Study
0030N00153000000,Available for Sale,Public Sale
0030N00190000000,Hold for Study,Hold For Study
0030N00283000000,Available for Sale,Public Sale
0031A00060000000,Hold for Study,Hold For Study
0031A00062000000,Hold for Study,Hold For Study
0031A00076000000,Hold for Study,Hold For Study
0031A00077000000,Hold for Study,Hold For Study
0031A00078000000,Hold for Study,Hold For Study
0031A00090000000,Hold for Study,Hold For Study
0031A00106000000,Hold for Study,Hold For Study
0031A00136000000,Hold for Study,Hold For Study
0031A00137000000,Hold for Study,Hold For Study
0031A00152000000,Hold for Study,Hold For Study
0031A00161000000,Hold for Study,Hold For Study
0031E00014000000,Hold for Study,Hold For Study
0031E00131000000,Hold for Study,Hold For Study
0031E00135000000,Hold for Study,Hold For Study
0031E00164000000,Hold for Study,Hold For Study
0031E00177000000,Hold for Study,Hold For Study
0031F00050000000,Hold for Study,Hold For Study
0032A00042000000,Available for Sale,Public Sale
0032A00047000000,Available for Sale,Public Sale
0032A00051000000,Available for Sale,Public Sale
0032B00039000000,Available for Sale,Public Sale
0032B00041000000,Available for Sale,Public Sale
0032B00067000000,Available for Sale,Public Sale
0032B00071000000,Available for Sale,Public Sale
0032B00084000000,Available for Sale,Public Sale
0032B00107000000,Hold for Study,Hold for Study
0032B00142000000,Hold for Study,Hold for Study
0032B00144000000,Available for Sale,Public Sale
0032B00198000000,Hold for Study,Hold For Study
0032B00203000000,Hold for Study,Hold for Study
0032B00208000000,Hold for Study,Hold for Study
0032B00210000000,Hold for Study,Hold for Study
0032B00212000000,Hold for Study,Hold for Study
0032B00278000000,Available for Sale,Public Sale
0032B00343000000,Hold for Study,Hold For Study
0032C00063000000,Hold for Study,Hold For Study
0032C00234000000,Hold for Study,Hold For Study
0032C00351000000,Hold for Study,Hold For Study
0032D00080000000,Hold for Study,Hold For Study
0032D00108000000,Hold for Study,Hold For Study
0032D00146000000,Hold for Study,Hold For Study
0032E00077000000,Available for Sale,Public Sale
0032E00079000000,Available for Sale,Public Sale
0032E00224000000,Hold for Study,Hold For Study
0032E00225000000,Hold for Study,Hold For Study
0032F00024000000,Available for Sale,Public Sale
0032F00167000000,Available for Sale,Public Sale
0032F00169000000,Available for Sale,Public Sale
0032F00171000000,Available for Sale,Public Sale
0032F00195000000,Available for Sale,Public Sale
0032F00205000000,Available for Sale,Public Sale
0032F00209000000,Available for Sale,Public Sale
0032F00218000000,Available for Sale,Public Sale
0032F00220000000,Available for Sale,Public Sale
0032F00224000000,Available for Sale,Public Sale
0032F00228000000,Available for Sale,Public Sale
0032F00282000000,Available for Sale,Public Sale
0032F00299000000,Available for Sale,Public Sale
0032F00350000000,Hold for Study,Hold For Study
0032F00351000000,Hold for Study,Hold For Study
0032F00352000000,Hold for Study,Hold for Study
0032G00069000000,Hold for Study,Hold For Study
0032G00072000000,Hold for Study,Hold For Study
0032G00247000000,Available for Sale,Public Sale
0032H00201000000,Hold for Study,Hold For Study
0032J00209000000,Hold for Study,Hold For Study
0032J00216000000,Hold for Study,Hold For Study
0032J00240000000,Hold for Study,Hold For Study
0032J00246000000,Hold for Study,Hold For Study
0032J00279000000,Hold for Study,Hold For Study
0032J00284000000,Hold for Study,Hold For Study
0032M00312000000,Hold for Study,Hold For Study
0032N00063000000,Hold for Study,Hold for Study
0032N00326000000,Available for Sale,Public Sale
0032P00007000000,Hold for Study,Hold For Study
0032P00009000000,Hold for Study,Hold for Study
0032P00069000000,Hold for Study,Hold For Study
0032P00077000000,Hold for Study,Hold For Study
0032P00110000000,Hold for Study,Hold For Study
0032P00117000000,Hold for Study,Hold For Study
0032P00246000000,Hold for Study,Hold For Study
0032R00035000000,Hold for Study,Hold For Study
0033B00084000000,Available for Sale,Public Sale
0033B00122000000,Available for Sale,Public Sale
0033B00228000000,Available for Sale,Public Sale
0033B00229000000,Available for Sale,Public Sale
0033B00357000000,Available for Sale,Public Sale
0033E00010000000,Hold for Study,Hold For Study
0033E00048000000,Hold for Study,Hold For Study
0033E00147000000,Available for Sale,Public Sale
0033E00164000000,Available for Sale,Public Sale
0033E00194000000,Available for Sale,Public Sale
0033K00078000000,Available for Sale,Public Sale
0033K00086000000,Available for Sale,Public Sale
0033K00101000000,Available for Sale,Public Sale
0033P00295000000,Hold for Study,Hold For Study
0033R00264000000,Available for Sale,Public Sale
0033S00170000000,Available for Sale,Public Sale
0033S00302000000,Available for Sale,Public Sale
0034A00222000000,Available for Sale,Public Sale
0034A00229000000,Available for Sale,Public Sale
0034A00230000000,Available for Sale,Public Sale
0034A00236000000,Hold for Study,Hold for Study
0034A00242000000,Hold for Study,Hold for Study
0034A00256000000,Available for Sale,Public Sale
0034A00300000000,Hold for Study,Hold for Study
0034B00047000000,Hold for Study,Hold for Study
0034B00230000000,Hold for Study,Hold For Study
0034C00100000000,Hold for Study,Hold For Study
0034C00150000000,Hold for Study,Hold For Study
0034C00170000000,Hold for Study,Hold For Study
0034C00171000000,Hold for Study,Hold For Study
0034E00018000000,Hold for Study,Hold for Study
0034E00145000001,Hold for Study,Hold For Study
0034K00230000000,Hold for Study,Hold For Study
0034L00280000000,Hold for Study,Hold For Study
0034M00090000000,Hold for Study,Hold For Study
0034M00204000000,Hold for Study,Hold For Study
0034M00222000000,Hold for Study,Hold For Study
0034M00234000000,Hold for Study,Hold For Study
0034M00260000001,Hold for Study,Hold For Study
0034R00006000000,Hold for Study,Hold For Study
0034S00052000000,Hold for Study,Hold For Study
0034S00055000000,Hold for Study,Hold For Study
0034S00059000000,Hold for Study,Hold For Study
0034S00077000000,Hold for Study,Hold For Study
0034S00114000000,Hold for Study,Hold For Study
0034S00200000000,Hold for Study,Hold For Study
0034S00201000000,Hold for Study,Hold For Study
0034S00212000000,Hold for Study,Hold For Study
0034S00255000000,Hold for Study,Hold For Study
0034S00260000000,Hold for Study,Hold For Study
0034S00275000000,Hold for Study,Hold For Study
0034S00284000000,Hold for Study,Hold For Study
0034S00300000000,Hold for Study,Hold For Study
0035A00017000000,Hold for Study,Hold For Study
0035A00058000000,Hold for Study,Hold For Study
0035A00059000000,Hold for Study,Hold For Study
0035A00062000000,Hold for Study,Hold For Study
0035A00083000000,Hold for Study,Hold For Study
0035A00084000000,Hold for Study,Hold For Study
0035A00085000000,Hold for Study,Hold For Study
0035A00089000000,Hold for Study,Hold For Study
0035A00095000000,Hold for Study,Hold For Study
0035A00096000000,Hold for Study,Hold For Study
0035A00097000000,Hold for Study,Hold For Study
0035A00098000000,Hold for Study,Hold For Study
0035A00099000000,Hold for Study,Hold For Study
0035A00120000000,Hold for Study,Hold For Study
0035A00124000000,Hold for Study,Hold For Study
0035A00140000000,Hold for Study,Hold For Study
0035A00144000000,Hold for Study,Hold For Study
0035A00147000000,Hold for Study,Hold For Study
0035A00148000000,Hold for Study,Hold For Study
0035A00152000000,Hold for Study,Hold For Study
0035A00154000000,Hold for Study,Hold For Study
0035A00157000000,Hold for Study,Hold For Study
0035A00160000000,Hold for Study,Hold For Study
0035A00162000000,Hold for Study,Hold For Study
0035B00006000000,Hold for Study,Hold For Study
0035B00008000000,Hold for Study,Hold For Study
0035B00009000000,Hold for Study,Hold For Study
0035B00010000000,Hold for Study,Hold For Study
0035B00011000000,Hold for Study,Hold For Study
0035B00012000000,Hold for Study,Hold For Study
0035B00013000000,Hold for Study,Hold For Study
0035B00046000000,Hold for Study,Hold For Study
0035B00047000000,Hold for Study,Hold For Study
0035B00058000000,Hold for Study,Hold For Study
0035B00060000000,Hold for Study,Hold For Study
0035E00035000000,Hold for Study,Hold For Study
0035E00036000000,Hold for Study,Hold For Study
0035E00037000000,Hold for Study,Hold For Study
0035E00079000000,Hold for Study,Hold For Study
0035E00080000000,Hold for Study,Hold For Study
0035E00114000000,Hold for Study,Hold For Study
0035E00115000000,Hold for Study,Hold For Study
0035E00116000000,Hold for Study,Hold For Study
0035E00119000000,Hold for Study,Hold For Study
0035E00120000000,Hold for Study,Hold For Study
0035E00122000000,Hold for Study,Hold For Study
0035E00126000000,Hold for Study,Hold For Study
0035E00127000000,Hold for Study,Hold For Study
0035E00128000000,Hold for Study,Hold For Study
0035E00129000000,Hold for Study,Hold For Study
0035E00130000000,Hold for Study,Hold For Study
0035E00145000000,Hold for Study,Hold For Study
0035E00146000000,Hold for Study,Hold For Study
0035E00147000000,Hold for Study,Hold For Study
0035E00150000000,Hold for Study,Hold for Study
0035E00151000000,Hold for Study,Hold For Study
0035E00153000000,Hold for Study,Hold For Study
0035F00224000000,Available for Sale,Public Sale
0035G00096000000,Available for Sale,Public Sale
0035G00251000000,Hold for Study,Hold for Study
0035G00306000000,Available for Sale,Public Sale
0035H00257000000,Hold for Study,Hold for Study
0035J00086000000,Hold for Study,Hold For Study
0035J00130000000,Available for Sale,Public Sale
0035J00131000000,Available for Sale,Public Sale
0035J00144000000,Hold for Study,Hold For Study
0035J00171000000,Hold for Study,Hold For Study
0035K00022000000,Hold for Study,Hold For Study
0035K00035000000,Hold for Study,Hold For Study
0035K00044000000,Available for Sale,Public Sale
0035K00053000000,Available for Sale,Public Sale
0035K00054000000,Available for Sale,Public Sale
0035K00055000000,Available for Sale,Public Sale
0035K00089000000,Available for Sale,Public Sale
0035K00117000000,Available for Sale,Public Sale
0035K00134000000,Available for Sale,Public Sale
0035M00203000000,Available for Sale,Public Sale
0035N00060000000,Hold for Study,Hold For Study
0035N00075000000,Hold for Study,Hold For Study
0035N00114000000,Hold for Study,Hold For Study
0035N00122000000,Litigation Pending,Public Sale
0035N00209000000,Available for Sale,Public Sale
0035N00210000000,Available for Sale,Public Sale
0035N00229000000,Hold for Study,Hold For Study
0035N00231000000,Hold for Study,Hold For Study
0035N00233000000,Hold for Study,Hold For Study
0035N00235000000,Hold for Study,Hold For Study
0035N00239000000,Hold for Study,Hold For Study
0035N00243000000,Hold for Study,Hold For Study
0035N00245000000,Hold for Study,Hold For Study
0035P00007000000,Available for Sale,Public Sale
0035P00221000000,Available for Sale,Public Sale
0035S00154000000,Available for Sale,Public Sale
0035S00155000000,Available for Sale,Public Sale
0036B00070000000,Available for Sale,Public Sale
0036C00295000000,Hold for Study,Hold For Study
0036L00081000000,Hold for Study,Hold For Study
0036M00115000000,Available for Sale,Public Sale
0039C00029000000,Available for Sale,Public Sale
0039C00321000000,Available for Sale,Public Sale
0039E00026000000,Available for Sale,Public Sale
0039E00090000000,Available for Sale,Public Sale
0039H00006000000,Available for Sale,Public Sale
0039J00118000000,Available for Sale,Public Sale
0039J00142000000,Available for Sale,Public Sale
0039J00149000000,Hold for Study,Hold For Study
0039J00151000000,Hold for Study,Hold For Study
0039J00152000000,Hold for Study,Hold For Study
0039J00156000000,Hold for Study,Hold For Study
0039J00159000000,Hold for Study,Hold For Study
0039J00162000000,Hold for Study,Hold For Study
0039J00168000000,Hold for Study,Hold For Study
0039J00204000000,Hold for Study,Hold For Study
0039J00244000000,Hold for Study,Hold For Study
0040B00048000000,Hold for Study,Hold For Study
0040B00050000000,Hold for Study,Hold For Study
0040B00052000000,Hold for Study,Hold For Study
0040B00054000000,Hold for Study,Hold For Study
0040B00087000000,Hold for Study,Hold For Study
0040B00088000000,Hold for Study,Hold For Study
0040B00091000000,Hold for Study,Hold For Study
0040B00093000000,Hold for Study,Hold For Study
0040B00096000000,Hold for Study,Hold For Study
0040B00098000000,Hold for Study,Hold For Study
0040B00099000000,Hold for Study,Hold For Study
0040B00102000000,Hold for Study,Hold For Study
0040B00103000000,Hold for Study,Hold For Study
0040B00105000000,Hold for Study,Hold For Study
0040B00130000000,Hold for Study,Hold For Study
0040B00131000000,Hold for Study,Hold For Study
0040B00133000000,Hold for Study,Hold For Study
0040B00134000000,Hold for Study,Hold For Study
0040B00135000000,Hold for Study,Hold For Study
0040B00136000000,Hold for Study,Hold For Study
0040B00137000000,Hold for Study,Hold For Study
0040B00138000000,Hold for Study,Hold For Study
0040B00139000000,Hold for Study,Hold For Study
0040B00140000000,Hold for Study,Hold For Study
0040B00141000000,Hold for Study,Hold For Study
0040B00142000000,Hold for Study,Hold For Study
0040B00143000000,Hold for Study,Hold For Study
0040B00144000000,Hold for Study,Hold For Study
0040B00145000000,Hold for Study,Hold For Study
0040B00146000000,Hold for Study,Hold For Study
0040B00152000000,Hold for Study,Hold For Study
0040B00155000000,Hold for Study,Hold For Study
0040B00159000000,Hold for Study,Hold For Study
0040B00161000000,Hold for Study,Hold For Study
0040B00162000000,Hold for Study,Hold For Study
0040B00163000000,Hold for Study,Hold For Study
0040B00164000000,Hold for Study,Hold For Study
0040B00166000000,Hold for Study,Hold For Study
0040B00167000000,Hold for Study,Hold For Study
0040B00172000000,Hold for Study,Hold For Study
0040B00174000000,Hold for Study,Hold For Study
0040B00175000000,Hold for Study,Hold For Study
0040B00176000000,Hold for Study,Hold For Study
0040B00177000000,Hold for Study,Hold For Study
0040B00197000000,Hold for Study,Hold For Study
0040B00198000000,Hold for Study,Hold For Study
0040B00203000000,Hold for Study,Hold For Study
0040B00204000000,Hold for Study,Hold For Study
0040B00206000000,Hold for Study,Hold For Study
0040B00207000000,Hold for Study,Hold For Study
0040B00215000000,Hold for Study,Hold For Study
0040B00216000000,Hold for Study,Hold For Study
0040B00217000000,Hold for Study,Hold For Study
0040B00222000000,Hold for Study,Hold For Study
0040B00224000000,Hold for Study,Hold For Study
0040B00225000000,Hold for Study,Hold For Study
0040C00018000000,Available for Sale,Public Sale
0040D00044000000,Available for Sale,Public Sale
0040F00039000000,Available for Sale,Public Sale
0040F00115000000,Hold for Study,Hold For Study
